AQ,DQ,RealMean,Real25,Real50,Real75,Real95,Real99.5
2,9,828717.715590553,487648.479186514,695393.759732847,1045191.31021348,1805584.87800004,3521709.29176462
2,10,799770.887281145,466317.374094333,677334.000133207,1004953.11268776,1737159.84259798,3379732.53287204
2,11,808615.28185433,480771.851299388,690366.693765807,1012899.01118697,1668802.27209487,2942646.24505264
2,12,807555.214488209,463603.948954387,677007.552007155,1023038.33704774,1828713.85167012,3035439.21225285
2,13,796158.489474237,445813.993336791,687505.545189983,1028884.26921008,1774790.92296703,3217916.76504058
2,14,787390.161460679,443639.061209037,693111.711712557,1030912.54109112,1709668.25603103,3143333.95707589
2,15,764878.565292286,402972.935342044,647167.028234885,999505.712152646,1704643.16724335,3299073.35817113
2,16,756483.174114224,374581.329736428,606624.761450842,987676.440495855,1842082.45195137,3228163.324904
2,17,688701.072934828,340809.424816513,575112.562311335,864693.86543097,1711838.83557907,3062133.19357838
2,18,662035.600115566,293912.129303187,514437.213215147,858488.229829485,1774403.02461735,3193786.26370781
2,19,611654.69910333,280366.835690016,495742.765173483,823883.558898233,1528398.21785485,2577918.9699771
2,20,617247.181579258,251977.220273047,476789.731923282,818858.896735529,1638389.2371693,3133925.87717918
2,21,531760.57993732,213869.147774446,420061.424112756,728304.581292139,1479736.08809991,2387669.485405
2,22,520345.015632641,201961.147685065,396797.722075848,718217.588861927,1455307.03872334,2858592.85615221
2,23,480422.481209314,140272.095110147,351984.077407442,672929.264449168,1472516.91367814,2787562.12987547
2,24,419485.512210423,104814.977363284,286863.082702777,576002.090150507,1378429.33394719,2655414.72435595
2,25,422263.425371893,80828.0615469529,283283.440485461,594870.602543983,1324240.54837035,2613771.48212421
2,26,381745.690355527,59997.9658653039,240764.388024432,522897.365386479,1282658.72389498,2619401.26178855
2,27,345871.825092022,42793.7683316145,221230.548360755,469571.24415298,1149445.51952631,2894293.01131691
2,28,327863.318194683,33499.5476926473,218520.850600093,463032.479405185,1240756.73643568,2315863.25224572
2,29,284184.063375783,24098.5725100081,122608.717191988,383183.246498953,1078986.95065136,2800158.66795971
2,30,278459.405526819,20515.7650686096,111708.972552009,398491.297101495,1049608.3084626,2160958.8891248
2,31,234323.443859918,7922.43561517749,59874.6321006023,287171.775623261,1019531.11099214,2127452.71286097
2,32,226205.415407326,4072.9946214864,57539.0606204274,286485.995561538,1030402.06793536,2095285.10993563
2,33,192837.665220564,0,36257.3160794717,269378.667345121,820712.0647406,2133854.44094148
2,34,181045.91442575,0,27601.0540963742,251235.193521698,882661.240158965,2041902.97719602
2,35,152297.199983724,0,18930.3787276612,197709.952589881,800840.781986052,1983664.52788909
2,36,144158.637242087,0,12733.8429380094,111717.016855129,778926.425579842,1869520.56571829
2,37,131173.751129788,0,0,83886.6798211947,718170.78382801,2316779.51983784
2,38,132170.766273214,0,0,69636.1553862644,791614.538397053,2154478.33388117
2,39,107725.102221479,0,0,47458.2198097715,637541.522414993,1624621.17465881
2,40,86289.0708481675,0,0,32497.4482349774,517866.508529391,2041431.80216489
3,1,6794.81019959673,0,0,5226.6252097734,22998.5981938609,205436.926377863
3,2,92952.027469546,33324.368770776,54485.0956231234,90022.1505146927,311957.938260308,972600.218058268
3,3,269651.611565612,135073.440321056,189536.989249948,296140.419916329,756407.947476786,1884213.62968282
3,4,452848.273721087,247461.153635081,355122.940725111,550339.967468662,1105568.89746795,1977755.19601479
3,5,578446.392374462,348178.435436113,472006.417310253,687955.815632452,1243786.20506035,2903405.68303303
3,6,692287.901407485,433529.468406479,585365.725497456,838173.369783294,1482172.72027568,2334229.07423626
3,7,768593.104251513,462575.977282712,661867.405468706,941903.434845813,1701552.85750376,2521167.72371211
3,8,814518.192999448,476972.4120122,710224.331247292,1037235.86599583,1720177.78780065,2925591.01253259
3,9,825297.193288863,502599.395925512,726847.941457196,1027991.26429507,1739236.95024591,2590254.53847756
3,10,862821.801434494,509810.810101593,742411.257424728,1081965.66336153,1896019.47149774,3304719.56386095
3,11,833768.719554482,482129.060336736,714234.161293545,1073657.07571847,1726099.25318504,3449721.40678385
3,12,825956.782977732,481713.73274427,711458.336905086,1068295.84051158,1776022.33728624,2990743.54179462
3,13,818134.598535014,455741.775147922,703410.141741639,1077569.18861322,1795169.09251554,3102529.19361404
3,14,776374.667694081,412238.641359301,650317.039925529,986681.411167598,1806481.36101591,2799772.61789696
3,15,769167.865175517,415197.724993295,663868.489383176,1010361.44478554,1684413.32504471,2736793.71940282
3,16,729558.654219029,378254.469392583,591231.0730903,957317.100764326,1701794.08893728,3346284.68060531
3,17,697133.460602157,347355.983282417,568891.582809509,929664.415534279,1702969.43851332,2858561.36296896
3,18,674151.397436496,300383.538748083,560025.3692977,900801.174321336,1658032.83956541,3320809.17681368
3,19,646480.091437037,306381.524183913,517286.418699433,838398.225672116,1671573.81000169,2923041.69386259
3,20,575855.341585978,236523.855972964,445411.213791726,754370.90411737,1543365.63918974,2889036.8151152
3,21,553318.138001048,221558.687099978,436283.773837885,732223.04655715,1553938.54443343,2554747.99964847
3,22,527624.600728718,195327.876989033,400251.274235866,693161.251902695,1482640.60345102,3614776.15387451
3,23,457436.913081832,130270.035384314,305374.518086984,617960.806499776,1389336.79606741,2877435.29230116
3,24,470203.364337964,115160.504361016,312521.659171441,636301.319527896,1418830.70721683,3198790.24042688
3,25,411832.570597446,77293.4588223349,281954.994580922,575262.664255828,1261931.27166348,2638630.29303878
3,26,370915.352667897,56753.5961024898,245402.584889541,497519.314750099,1199956.7737185,3406010.77739167
3,27,349797.135617566,41268.946899735,234544.241942752,483893.727904555,1226491.48908274,2321272.96110355
3,28,321540.55998899,33358.2398677074,213133.616071617,469954.150292726,1118839.86416995,2023928.56099578
3,29,278104.14272874,21035.7060501499,106254.284566827,391197.892914816,1057499.98956624,2530566.16299361
3,30,255294.230109872,14648.0436611374,77020.0229701662,337276.733926834,1053523.00480447,2289358.63715766
3,31,248969.937071221,6495.15524684911,62102.1651091987,316468.815683982,1024438.76660453,2331125.48817225
3,32,232949.567454354,6256.10761299146,50920.62635905,298040.768155716,1017708.54320651,2261789.86315977
3,33,209605.473575069,0,38935.7540072294,279455.921777164,933526.907146763,2124441.68072065
3,34,183375.828171071,0,27259.9881519429,237257.999756645,872748.095836485,2275940.40782529
3,35,148678.28352865,0,20287.3343775303,192558.050396557,759462.251948977,2137101.48431001
3,36,157390.307778907,0,12808.2106594765,208808.960825739,752267.695155139,2449177.87872231
3,37,124223.212997947,0,0,69553.8931783064,733531.246411574,1968462.14967106
3,38,117693.821478994,0,0,56029.9468713593,689139.186797231,2004514.06525562
3,39,114512.398032,0,0,43950.5087790821,677208.043125132,2230596.48906523
3,40,82783.8889389207,0,0,30859.9227534786,525695.382083507,2179797.0556707
4,1,8101.77686197045,0,0,6251.1828277924,24998.5295623011,466169.411980234
